"trta","aesoc","aedecod","saffl","procedure","factor","measure","rowno","colno","cellpartno","unit","denominator"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","Y","count","quantity",48,55,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","Y","countdistinct","USUBJID",21,55,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DERMATITIS","Y","count","quantity",9,57,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DERMATITIS","Y","countdistinct","USUBJID",5,57,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE ERYTHEMA","Y","count","quantity",3,61,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE ERYTHEMA","Y","countdistinct","USUBJID",3,61,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE INDURATION","Y","count","quantity",1,62,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE INDURATION","Y","countdistinct","USUBJID",1,62,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE IRRITATION","Y","count","quantity",7,63,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE IRRITATION","Y","countdistinct","USUBJID",3,63,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PRURITUS","Y","count","quantity",10,66,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PRURITUS","Y","countdistinct","USUBJID",6,66,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE REACTION","Y","count","quantity",2,67,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE REACTION","Y","countdistinct","USUBJID",1,67,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE VESICLES","Y","count","quantity",2,70,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE VESICLES","Y","countdistinct","USUBJID",1,70,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","ASTHENIA","Y","count","quantity",2,72,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","ASTHENIA","Y","countdistinct","USUBJID",1,72,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHILLS","Y","count","quantity",3,75,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHILLS","Y","countdistinct","USUBJID",1,75,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FATIGUE","Y","count","quantity",2,77,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FATIGUE","Y","countdistinct","USUBJID",1,77,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","OEDEMA PERIPHERAL","Y","count","quantity",5,83,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","OEDEMA PERIPHERAL","Y","countdistinct","USUBJID",2,83,1,2,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","PYREXIA","Y","count","quantity",2,85,1,1,"_NULL_","_NULL_"
"Placebo","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","PYREXIA","Y","countdistinct","USUBJID",2,85,1,2,"_NULL_","_NULL_"
"Placebo","HEPATOBILIARY DISORDERS","_ALL_","Y","count","quantity",1,90,1,1,"_NULL_","_NULL_"
"Placebo","HEPATOBILIARY DISORDERS","_ALL_","Y","countdistinct","USUBJID",1,90,1,2,"_NULL_","_NULL_"
"Placebo","HEPATOBILIARY DISORDERS","HYPERBILIRUBINAEMIA","Y","count","quantity",1,91,1,1,"_NULL_","_NULL_"
"Placebo","HEPATOBILIARY DISORDERS","HYPERBILIRUBINAEMIA","Y","countdistinct","USUBJID",1,91,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","_ALL_","Y","count","quantity",35,95,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","_ALL_","Y","countdistinct","USUBJID",16,95,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","BRONCHITIS","Y","count","quantity",1,96,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","BRONCHITIS","Y","countdistinct","USUBJID",1,96,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","CERVICITIS","Y","count","quantity",2,98,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","CERVICITIS","Y","countdistinct","USUBJID",1,98,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","CYSTITIS","Y","count","quantity",1,99,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","CYSTITIS","Y","countdistinct","USUBJID",1,99,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","EAR INFECTION","Y","count","quantity",4,100,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","EAR INFECTION","Y","countdistinct","USUBJID",2,100,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","GASTROENTERITIS VIRAL","Y","count","quantity",1,101,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","GASTROENTERITIS VIRAL","Y","countdistinct","USUBJID",1,101,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","INFLUENZA","Y","count","quantity",2,103,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","INFLUENZA","Y","countdistinct","USUBJID",1,103,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","LOCALISED INFECTION","Y","count","quantity",2,104,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","LOCALISED INFECTION","Y","countdistinct","USUBJID",1,104,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","NASOPHARYNGITIS","Y","count","quantity",4,106,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","NASOPHARYNGITIS","Y","countdistinct","USUBJID",2,106,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","UPPER RESPIRATORY TRACT INFECTION","Y","count","quantity",12,110,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","UPPER RESPIRATORY TRACT INFECTION","Y","countdistinct","USUBJID",6,110,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","URINARY TRACT INFECTION","Y","count","quantity",4,111,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","URINARY TRACT INFECTION","Y","countdistinct","USUBJID",2,111,1,2,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","VAGINAL MYCOSIS","Y","count","quantity",2,112,1,1,"_NULL_","_NULL_"
"Placebo","INFECTIONS AND INFESTATIONS","VAGINAL MYCOSIS","Y","countdistinct","USUBJID",1,112,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","Y","count","quantity",9,114,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","Y","countdistinct","USUBJID",4,114,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","CONTUSION","Y","count","quantity",1,115,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","CONTUSION","Y","countdistinct","USUBJID",1,115,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","EXCORIATION","Y","count","quantity",3,116,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","EXCORIATION","Y","countdistinct","USUBJID",2,116,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","FALL","Y","count","quantity",2,118,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","FALL","Y","countdistinct","USUBJID",1,118,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","HIP FRACTURE","Y","count","quantity",2,119,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","HIP FRACTURE","Y","countdistinct","USUBJID",1,119,1,2,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","SKIN LACERATION","Y","count","quantity",1,121,1,1,"_NULL_","_NULL_"
"Placebo","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","SKIN LACERATION","Y","countdistinct","USUBJID",1,121,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","_ALL_","Y","count","quantity",19,123,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","_ALL_","Y","countdistinct","USUBJID",10,123,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD ALKALINE PHOSPHATASE INCREASED","Y","count","quantity",1,126,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD ALKALINE PHOSPHATASE INCREASED","Y","countdistinct","USUBJID",1,126,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD CREATINE PHOSPHOKINASE INCREASED","Y","count","quantity",2,128,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD CREATINE PHOSPHOKINASE INCREASED","Y","countdistinct","USUBJID",1,128,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD URINE PRESENT","Y","count","quantity",1,130,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","BLOOD URINE PRESENT","Y","countdistinct","USUBJID",1,130,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","CYSTOSCOPY","Y","count","quantity",1,132,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","CYSTOSCOPY","Y","countdistinct","USUBJID",1,132,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","Y","count","quantity",4,133,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM ST SEGMENT DEPRESSION","Y","countdistinct","USUBJID",4,133,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","Y","count","quantity",1,134,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED","Y","countdistinct","USUBJID",1,134,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE INVERSION","Y","count","quantity",3,135,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE INVERSION","Y","countdistinct","USUBJID",2,135,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","HEART RATE INCREASED","Y","count","quantity",2,136,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","HEART RATE INCREASED","Y","countdistinct","USUBJID",1,136,1,2,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","HEART RATE IRREGULAR","Y","count","quantity",4,137,1,1,"_NULL_","_NULL_"
"Placebo","INVESTIGATIONS","HEART RATE IRREGULAR","Y","countdistinct","USUBJID",1,137,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","_ALL_","Y","count","quantity",8,143,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","_ALL_","Y","countdistinct","USUBJID",6,143,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DECREASED APPETITE","Y","count","quantity",2,144,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DECREASED APPETITE","Y","countdistinct","USUBJID",1,144,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DEHYDRATION","Y","count","quantity",1,145,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DEHYDRATION","Y","countdistinct","USUBJID",1,145,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DIABETES MELLITUS","Y","count","quantity",1,146,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","DIABETES MELLITUS","Y","countdistinct","USUBJID",1,146,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","FOOD CRAVING","Y","count","quantity",1,147,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","FOOD CRAVING","Y","countdistinct","USUBJID",1,147,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","HYPONATRAEMIA","Y","count","quantity",1,149,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","HYPONATRAEMIA","Y","countdistinct","USUBJID",1,149,1,2,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","INCREASED APPETITE","Y","count","quantity",2,150,1,1,"_NULL_","_NULL_"
"Placebo","METABOLISM AND NUTRITION DISORDERS","INCREASED APPETITE","Y","countdistinct","USUBJID",1,150,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","Y","count","quantity",8,151,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","Y","countdistinct","USUBJID",5,151,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRALGIA","Y","count","quantity",1,152,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRALGIA","Y","countdistinct","USUBJID",1,152,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRITIS","Y","count","quantity",2,153,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRITIS","Y","countdistinct","USUBJID",1,153,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","BACK PAIN","Y","count","quantity",2,154,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","BACK PAIN","Y","countdistinct","USUBJID",1,154,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","PAIN IN EXTREMITY","Y","count","quantity",1,159,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","PAIN IN EXTREMITY","Y","countdistinct","USUBJID",1,159,1,2,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","SHOULDER PAIN","Y","count","quantity",2,160,1,1,"_NULL_","_NULL_"
"Placebo","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","SHOULDER PAIN","Y","countdistinct","USUBJID",1,160,1,2,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","_ALL_","Y","count","quantity",16,165,1,1,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","_ALL_","Y","countdistinct","USUBJID",12,165,1,2,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","DIZZINESS","Y","count","quantity",3,172,1,1,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","DIZZINESS","Y","countdistinct","USUBJID",2,172,1,2,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","HEADACHE","Y","count","quantity",8,173,1,1,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","HEADACHE","Y","countdistinct","USUBJID",7,173,1,2,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","PARKINSON'S DISEASE","Y","count","quantity",1,179,1,1,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","PARKINSON'S DISEASE","Y","countdistinct","USUBJID",1,179,1,2,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","PSYCHOMOTOR HYPERACTIVITY","Y","count","quantity",1,182,1,1,"_NULL_","_NULL_"
"Placebo","NERVOUS SYSTEM DISORDERS","PSYCHOMOTOR HYPERACTIVITY","Y","countdistinct","USUBJID",1,182,1,2,"_NULL_","_NULL_"
