ittfl,saffl,efffl,comp24fl,disconfl,trt01p,procedure,factor,unit,denominator,measure
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Placebo,count,quantity,,,58
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Placebo,percent,proportion,,disconfl,67.441860465
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Xanomeline High Dose,count,quantity,,,27
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Xanomeline High Dose,percent,proportion,,disconfl,32.142857143
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Xanomeline Low Dose,count,quantity,,,25
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,Xanomeline Low Dose,percent,proportion,,disconfl,29.761904762
_ALL_,_ALL_,_ALL_,_ALL_,Y,Placebo,count,quantity,,,28
_ALL_,_ALL_,_ALL_,_ALL_,Y,Placebo,percent,proportion,,disconfl,32.558139535
_ALL_,_ALL_,_ALL_,_ALL_,Y,Xanomeline High Dose,count,quantity,,,57
_ALL_,_ALL_,_ALL_,_ALL_,Y,Xanomeline High Dose,percent,proportion,,disconfl,67.857142857
_ALL_,_ALL_,_ALL_,_ALL_,Y,Xanomeline Low Dose,count,quantity,,,59
_ALL_,_ALL_,_ALL_,_ALL_,Y,Xanomeline Low Dose,percent,proportion,,disconfl,70.238095238
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,,count,quantity,,,110
_ALL_,_ALL_,_ALL_,_ALL_,_ALL_,,percent,proportion,,disconfl,43.307086614
_ALL_,_ALL_,_ALL_,_ALL_,Y,,count,quantity,,,144
_ALL_,_ALL_,_ALL_,_ALL_,Y,,percent,proportion,,disconfl,56.692913386
